NAAM,TYPE_NAAM,GELD_START,LON,LAT,GEMEENTE
Notariswoning Smeets: binnenhof en bijgebouwen,Beschermd stads- of dorpsgezicht,2002/10/21,5.343,50.931,Hasselt
Koninklijk Atheneum: omgeving,Beschermd stads- of dorpsgezicht,2002/10/22,5.342,50.929,Hasselt
Burgerhuis Heusden: tuin met bijgebouwen,Beschermd stads- of dorpsgezicht,2002/11/04,5.335,50.930,Hasselt
Burgerhuis De Engelkes: tuin,Beschermd stads- of dorpsgezicht,2002/11/04,5.340,50.928,Hasselt
Stadswoning De Gulden Put: binnenhof en bijgebouwen,Beschermd stads- of dorpsgezicht,2002/11/04,5.336,50.930,Hasselt
Neoclassicistisch herenhuis met dienstvleugels: omgeving,Beschermd stads- of dorpsgezicht,2002/11/04,5.332,50.932,Hasselt
Vakwerkhoeve met losse bestanddelen: omgeving,Beschermd stads- of dorpsgezicht,2005/02/14,5.300,50.903,Hasselt
Semi-gesloten vakwerkhoeve: omgeving,Beschermd stads- of dorpsgezicht,2008/06/25,5.331,50.900,Hasselt
Vakwerkhoeve: omgeving,Beschermd stads- of dorpsgezicht,2009/06/15,5.241,50.956,Hasselt
Vakwerkhoeve: omgeving,Beschermd stads- of dorpsgezicht,2009/06/15,5.303,50.943,Hasselt
Semi-gesloten vakwerkhoeve: omgeving,Beschermd stads- of dorpsgezicht,2009/06/15,5.349,50.884,Hasselt
Pastorie Onze-Lieve-Vrouwparochie met omgeving,Beschermd cultuurhistorisch landschap,1943/12/20,5.570,50.931,Zutendaal
Watermolen Suetendaelmolen met omgeving,Beschermd stads- of dorpsgezicht,1995/05/29,5.545,50.916,Zutendaal
Vakwerkhoeve: omgeving,Beschermd stads- of dorpsgezicht,2002/02/28,5.218,50.955,Herk-de-Stad
Hoeve Amandinahuis: omgeving,Beschermd stads- of dorpsgezicht,2002/05/23,5.204,50.906,Herk-de-Stad
Oude boomkwekerij De Pierpont,Beschermd cultuurhistorisch landschap,1987/03/23,5.169,50.935,Herk-de-Stad
Vakwerkhoeve: omgeving,Beschermd stads- of dorpsgezicht,2005/02/01,5.160,50.935,Herk-de-Stad
Langgestrekte vakwerkhoeve: omgeving,Beschermd stads- of dorpsgezicht,2008/12/24,5.218,50.950,Herk-de-Stad
Watermolen Nieuwe Molen: omgeving,Beschermd stads- of dorpsgezicht,2008/12/24,5.203,50.931,Herk-de-Stad
Langgestrekte vakwerkhoeve: omgeving,Beschermd stads- of dorpsgezicht,2008/12/24,5.215,50.959,Herk-de-Stad
Vakwerkhoeve met losse bestanddelen: omgeving,Beschermd stads- of dorpsgezicht,2008/12/24,5.146,50.937,Herk-de-Stad
Vierkantshoeve: stenen componenten met erf,Beschermd stads- of dorpsgezicht,2008/12/24,5.201,50.907,Herk-de-Stad
Langgestrekte vakwerkhoeve: omgeving,Beschermd stads- of dorpsgezicht,2008/12/24,5.185,50.923,Herk-de-Stad
Langgestrekte vakwerkhoeve met waterput: omgeving,Beschermd stads- of dorpsgezicht,2008/12/24,5.182,50.931,Herk-de-Stad
Vakwerkhoeve met waterput: omgeving,Beschermd stads- of dorpsgezicht,2008/12/24,5.214,50.915,Herk-de-Stad
Langgestrekte vakwerkhoeve: omgeving,Beschermd stads- of dorpsgezicht,2008/12/24,5.188,50.900,Herk-de-Stad
Vakwerkhoeve met losse bestanddelen: omgeving,Beschermd stads- of dorpsgezicht,2008/12/24,5.194,50.905,Herk-de-Stad
Vakwerkhoeve met losse bestanddelen: omgeving,Beschermd stads- of dorpsgezicht,2008/12/24,5.223,50.921,Herk-de-Stad
Vakwerkhoeve met losse bestanddelen: omgeving,Beschermd stads- of dorpsgezicht,2008/12/24,5.221,50.910,Herk-de-Stad
Hoeve Bouquetwinning met omgeving,Beschermd stads- of dorpsgezicht,1981/09/08,5.393,50.903,Diepenbeek
Watermolen Rooiermolen met omgeving,Beschermd stads- of dorpsgezicht,1983/02/03,5.399,50.929,Diepenbeek
Kasteel van Diepenbeek: kasteeldomein,Beschermd stads- of dorpsgezicht,2002/06/25,5.420,50.912,Diepenbeek
Watermolen Sapittelmolen met omgeving,Beschermd stads- of dorpsgezicht,1983/02/03,5.434,50.908,Diepenbeek
Langgestrekte vakwerkhoeve: omgeving,Beschermd stads- of dorpsgezicht,2009/06/15,5.443,50.903,Diepenbeek
Langgestrekte vakwerkhoeve Den Vrouwenhof: omgeving,Beschermd stads- of dorpsgezicht,2009/06/15,5.398,50.904,Diepenbeek
Vakwerkhoeve met losse bestanddelen Voswinning: omgeving,Beschermd stads- of dorpsgezicht,2009/06/15,5.423,50.891,Diepenbeek
Langgestrekte vakwerkhoeve: omgeving,Beschermd stads- of dorpsgezicht,2009/06/15,5.409,50.910,Diepenbeek
Langgestrekte vakwerkhoeve: omgeving,Beschermd stads- of dorpsgezicht,2009/06/15,5.443,50.898,Diepenbeek
Vakwerkhoeve met losse bestanddelen: aanhorigheden en omgeving,Beschermd stads- of dorpsgezicht,2009/06/15,5.380,50.889,Diepenbeek
Vakwerkhoeve met losse bestanddelen: omgeving,Beschermd stads- of dorpsgezicht,2009/06/15,5.455,50.912,Diepenbeek
Vakwerkhoeve met losse bestanddelen Merlemont: omgeving,Beschermd stads- of dorpsgezicht,2009/06/15,5.406,50.883,Diepenbeek
